RK,name,TEAM,BYE,AGE,POS,POS RK,ADP
1,Christian McCaffrey,CAR,13,25,RB,RB1,1.3
2,Dalvin Cook,MIN,7,26,RB,RB2,2.5
3,Alvin Kamara,NO,6,26,RB,RB3,3.7
4,Derrick Henry,TEN,13,27,RB,RB4,3.8
5,Ezekiel Elliott,DAL,7,26,RB,RB5,5.4
6,Davante Adams,GB,13,28,WR,WR1,6.3
7,Aaron Jones,GB,13,26,RB,RB6,7.4
8,Travis Kelce,KC,12,31,TE,TE1,8.3
9,Austin Ekeler,LAC,7,26,RB,RB7,8.9
10,Nick Chubb,CLE,13,25,RB,RB8,10.6
10,Tyreek Hill,KC,12,27,WR,WR2,10.6
12,Saquon Barkley,NYG,10,24,RB,RB9,14.2
13,Najee Harris,PIT,7,23,RB,RB10,12.7
14,Stefon Diggs,BUF,7,27,WR,WR3,13.5
15,Jonathan Taylor,IND,14,22,RB,RB11,14.1
16,Antonio Gibson,WAS,9,23,RB,RB12,15.4
17,DeAndre Hopkins,ARI,12,29,WR,WR4,16.9
18,Calvin Ridley,ATL,6,26,WR,WR5,17.9
19,Joe Mixon,CIN,10,25,RB,RB13,19.1
20,DK Metcalf,SEA,9,23,WR,WR6,19.4
21,Clyde Edwards-Helaire,KC,12,22,RB,RB14,20.1
22,Darren Waller,LV,8,28,TE,TE2,21.8
23,Justin Jefferson,MIN,7,22,WR,WR7,22.6
24,Patrick Mahomes,KC,12,25,QB,QB1,22.7
25,A.J. Brown,TEN,13,24,WR,WR8,25
26,Keenan Allen,LAC,7,29,WR,WR9,26.4
27,David Montgomery,CHI,10,24,RB,RB15,26.5
28,George Kittle,SF,6,27,TE,TE3,28.3
29,Chris Carson,SEA,9,26,RB,RB16,28.5
30,CeeDee Lamb,DAL,7,22,WR,WR10,29.4
31,Terry McLaurin,WAS,9,25,WR,WR11,30.1
32,James Robinson,JAX,7,23,RB,RB17,30.2
33,Allen Robinson II,CHI,10,28,WR,WR12,32.9
34,Josh Allen,BUF,7,25,QB,QB2,34
